㐀	丘
䝼	䞍
䞀	𬥽
䞁	𬥺
䞂	𬥻
䞈	𧹑
䞉	𰷩
䞋	𫎪
䞌	𧵳
䞍	䝼
䞎	𧶧
䞐	賰
䞓	𫎭 赬
䞶	𬦅
䟃	𫎺
䟆	𫎳
䟏	𰷴
䟐	𫎱
䟢	躎
䟺	𬦥
䠆	𫏃
䠟	𰸈
䠠	𰸛
䠩	𰸊
䠮	𬧃
䠱	躅 𨅛
䡁	𬧢
䡅	𰹳
䡇	𰹷
䡊	𰹺
䡐	𫟤
䡗	𬨆
䡘	𬨉
䡝	𰺑
䡟	𬨌
䡦	𬨑
䡩	𫟥
䡰	𰺘
䡴	𰺝
䡵	𫟦
䡶	𬨔
䡷	𰺡
䡻	𰺤
䡾	𰺠
䢀	𨊰
䢁	𨊸
䢂	𨋢
䢈	𰺭
䢙	敗
䢨	𨑹
䣩	醇
䤌	𮠞
䤍	𨢥 𰼑
䤠	𰽠
䤤	𫟺
䤥	𰽺
䤨	𰽸
䤩	𬭈
䤪	𬭆
䤬	𰾈
䤵	𰾐
䤸	𰾦
䤻	𰾖
䤼	𬭣
䥀	捵
䥄	𫠀
䥇	䦂
䥑	鿏
䥕	𬭯
䥖	𰾻
䥗	𫔋
䥛	𬭴
䥝	𰿁
䥞	𬭻
䥨	鑢
䥩	𨱖
䥯	𫔆
䥱	䥾
䥴	𰿅
䥶	𰽝
䥷	𰿇 㔍
䥸	𨧮
䥺	釾
䥽	鏺
䥾	䥱
䥿	𨯅
䦀	𨦫
䦁	𨧜
䦂	䥇
䦃	鐯
䦅	鐥
䦆	钁
䦌	𮤬
䦎	𰿨
䦓	𦕒 覘
䦘	𨸄
䦛	䦶
䦝	𬮨
䦟	䦷
䦪	𰿴
䦯	𫔵
䦱	𰿫
䦳	𨷿
䦶	䦛
䦷	䦟
䧞	𬮺
䧢	𨸟
䨘	霰
䨴	𱁒
䩄	靦
䩞	韂
䩫	𬰥
䪊	𫖅 龓
䪍	𱁽
䪏	𩏼
䪐	𱂅
䪓	𬰳
䪗	𩐀
䪘	𩏿
䪜	𬰷
䪝	𱂌
䪥	𱂎
䪴	𫖫
䪼	𱂢
䪾	𫖬
䪿	囟
䫀	𫖱
䫂	𫖰
䫈	𬱣
䫉	𬥈
䫌	𱂮
䫏	𬱦
䫐	𬃲
䫜	𬱮
䫟	𫖲
䫠	𬱰
䫥	𱆚
䫩	𬱬
䫴	𩖗
䫶	𫖺
䫻	𫗇
䫼	𬱷
䫾	𫠈
䬀	𱃖
䬂	𬱸
䬅	𱃚
䬍	𬲀
䬎	𬱿
䬐	𱃜
䬒	颼
䬓	𫗊
䬔	𱃞
䬘	𩙮
䬝	𩙯
䬞	𩙧
䬟	𱃙
䬡	翥
䬣	𱃱
䬧	𫗟
䬪	𱃳
䬫	𬲮
䬬	𱃵
䬯	𬲫
䬲	𬲯
䬳	𱃷
䬶	𬲷
䬹	𱃸
䬾	𬲻
䭀	𩠇
䭃	𩠈
䭅	𬲾
䭇	𬳀
䭈	𱄃
䭉	𬳅
䭑	𫗱
䭒	𬳋
䭓	𱃹
䭔	𫗰
䭕	𬲕
䭘	𬳑
䭞	𬲳
䭡	𱄉
䭢	𬲲
䭣	𬲶
䭪	𩞯
䭭	𬱯
䭾	馱
䭿	𩧭
䮂	𱅄
䮄	𫠊
䮈	𬳾
䮗	𬴁
䮝	𩧰
䮞	𩨁
䮠	𩧿
䮧	𱅠
䮫	𩨇
䮰	𫘮
䮲	𱅦
䮳	𩨏
䮸	𬳸
䮽	𬴍
䮾	𩧪
䮿	𬴏
䯀	䯅
䯃	𩣑
䯄	騧
䯅	䯀
䯌	尻
䯤	𩩈
䯻	髻
䰎	𱆃
䰐	𱆅
䰖	𱆈
䰗	鬮
䰫	𱆙
䰲	𱇍
䰷	𬶆
䰻	𱇕
䰽	𱇑
䰾	鲃
䱀	𫚐
䱁	𫚏
䱂	𱇤
䱅	鮇 𱇚
䱇	鱓 𱇞
䱌	𱇬
䱍	𬶊 䱎
䱎	𱇥 䱍
䱐	𱇲
䱒	𱇰
䱓	𬶓
䱗	𮬞
䱙	𩾈
䱚	𮬠
䱛	𮬟
䱜	𱇷
䱟	𱈀
䱡	𱇽
䱤	𱇻
䱥	𱇹
䱧	𫚠
䱬	𩾊
䱭	𱈇
䱰	𩾋
䱱	𬶤
䱴	𱈈
䱵	𮬢
䱷	䲣 漁
䱸	𫠑
䱹	𬶣
䱻	𮬡
䱽	鯧 䲝
䱾	𱈆
䲁	鳚
䲅	𫚜
䲉	𱈒
䲏	𬶗
䲕	𬶴
䲖	𩾂
䲗	𮬣
䲘	鳤
䲙	𬶎
䲚	𱈖
䲛	𱈛
䲝	䱽
䲞	𩶘
䲟	鮣
䲠	鰆
䲡	鰌
䲢	鰧
䲣	䱷
䲤	鿐
䲨	𬷾
䲰	𪉂
䲸	𮭡
䲹	𱉖
䲼	𬸆
䳅	𱉙
䳇	𱉞
䳍	𮭥
䳏	𱉤
䳒	𱉧
䳓	𱉦
䳕	𱉺
䳚	𱉶
䳜	𫛬
䳟	𱊂
䳢	𫛰
䳤	𫛮
䳧	𫛺
䳨	𬸛
䳫	𫛼
䳭	𱉼
䳮	𱊓
䳲	𱊙
䳺	𱊣
䴇	𱊪
䴈	𬸩
䴉	鹮
䴋	𫜅
䴓	鳾
䴔	鵁
䴕	鴷
䴖	鶄
䴗	鶪
䴘	鷈 鷉
䴙	鸊 鷿
䴚	𮭰
䴝	𱊼
䴬	𪎈
䴭	𬹅
䴮	𱋆
䴱	𫜒
䴲	𱋊
䴳	𱋎
䴴	𪎋
䴵	𱋔
䴷	𬹉
䴸	𱋗
䴹	𱋙 餜
䴺	𱋝
䴽	𫜔
䵂	𱋪
䵃	𱋫
䵆	𱋮
䵐	𱋴
䵑	䵒
䵒	䵑
䵘	𬓸
䵳	𪑅
䵴	𫜙
䵶	𱌁
䵷	𱌃
䶏	涕
䶕	𫜨
䶗	𮯙
䶢	𬺍
䶣	𬺃
䶦	𬺉
䶧	𱌰
䶨	𱌵
䶪	𬺕
䶮	龑
䶱	𱍇
䶲	𫜳
一	弌 壹
七	柒
万	卍 萬
三	叁
与	與
丐	匃
丑	醜
专	專
丕	仳
丘	坵 㐀
业	業
丛	叢
东	東
丝	絲
丟	丢
両	兩 两
丢	丟
两	兩 両
严	嚴
並	幷 并 竝
丧	喪
个	個 箇
中	塚
丰	豐
临	臨
为	為
丼	井
丽	麗
举	舉
乃	迺 廼
么	麽 幺 麼
义	義
乌	烏
乐	樂
乔	喬
乚	隱
九	玖
习	習
乡	鄉
书	書
买	買
乱	亂
乾	亁 干
亁	乾
亂	乱
予	余
争	爭
亊	事
事	亊
二	弍 貳
于	於 扵
亏	於 虧 扵
云	雲
五	伍 㐅
井	丼
亗	𡻕 岁 歲
亚	亞
亝	齊
亞	亚
亡	兦 亾
产	產
亩	畝
亲	榛 親
亵	褻
亸	嚲
人	亻
亻	人
亼	集
亾	亡
亿	億
仅	僅
仆	僕
仇	讎 讐
从	從
仑	侖
仓	倉
他	牠 她
仙	僊
仝	同
仟	千 阡
以	㠯
仪	儀
们	們
仳	丕
价	價
任	仼
仼	任
份	分
仾	低
仿	倣
伀	彸
伃	妤
伍	五
众	眾
优	優
会	會
伛	傴
伞	傘
伟	偉
传	傳
伡	俥
伣	俔
伤	傷
伥	倀
伦	倫
伧	傖
伪	偽 僞
伫	佇
伭	玄
伱	你
伷	冑 胄
佅	𠇱
佇	竚 伫
佋	紹
低	仾
佑	祐
体	體 軆
佔	占
佗	它
余	余 餘 予
你	您 伱 妳 祢 袮
佣	傭
佥	僉
佬	姆
佰	百
併	并 倂 𠊧
侁	詵 駪
侂	託
侅	賅
來	来 耒
侎	敉
侖	仑 崙
侚	狥 殉
侠	俠
侣	侶
侥	僥
侦	偵
侧	側
侨	僑
侩	儈
侪	儕
侬	儂
侮	㑄
侶	侣
俁	俣
係	系
俈	嚳
俓	𠇹 勁 徑
俔	伣
俞	兪
俟	竢
俠	侠
俣	俁
俥	伡
俦	儔
俨	儼
俩	倆
俪	儷
俫	倈
俭	儉
俯	頫
俻	備
倀	伥
倂	併
倆	俩
倈	徠 勑 俫
倉	仓
個	箇 个
倏	倐
倐	倏
們	们
倖	幸 囟
倘	儻
倣	仿
値	值
倫	伦
倲	㑈
债	債
值	値
倾	傾
偁	穪 稱
偃	㫃
偉	伟
偊	踽
偎	渨
偐	贗 贋
偑	㐽
偒	蕩
健	徤
偩	𰁾
偪	逼
偬	傯
側	侧
偵	侦
偷	偸
偸	偷
偺	咱 喒 昝
偻	僂
偽	伪
偾	僨
偿	償
傁	叜 墰 叟
傌	㐷 罵
傍	旁
傏	搪
傑	杰
傖	伧
傘	伞 繖
備	俻 备
傜	徭
傥	儻
傧	儐
储	儲
傩	儺
傪	𫢺
傭	佣
傯	偬
傱	𰁧
傳	传
傴	伛
債	债
傷	伤
傻	儍
傽	慞
傾	倾
僀	𰂗
僂	偻
僅	仅
僆	𫢪
僉	佥
僊	仙
働	𫢙
僑	侨
僓	𰂜
僕	仆
僗	𫢬
僞	伪
僤	𫢸
僥	侥
僨	偾
僩	𰂎
僱	雇
僴	𰂋
價	价
僾	𫣊
儀	仪
儁	㑺
儂	侬
億	亿
儅	𰁸
儆	警
儈	侩
儉	俭
儍	傻
儎	載
儐	傧
儒	㐵
儓	檯 枱
儔	俦
儕	侪
儖	𫣉
儘	尽
儛	㒇
償	偿
儡	酹
儢	𰂦
儣	𠆲
儥	𰂏
儩	𰂭
優	优
儭	襯
儰	𫢭
儱	𫢒
儲	储
儶	㒞
儷	俪
儸	㑩
儹	𰃆
儺	傩
儻	傥 倘
儼	俨
儿	兒
克	剋
兌	兑
兎	兔
兑	兌
兒	儿
兔	兎
兖	兗
兗	兖
党	黨
兦	亡
內	内
全	㒰
兩	两 両
兪	俞
八	捌
六	陸
兮	𠔃
兰	蘭
关	關
兴	興
兹	玆 茲
养	養
兽	獸
冁	囅
冂	坰 冋
冄	冉
内	內
冈	岡
冉	冄
冊	册
冋	坰 冂
册	冊
冑	伷 胄
冒	冒
冗	宂
写	寫
军	軍
农	農
冤	寃
冩	寫
冪	鼏 羃 幂
冫	冰 氷
冯	馮
冰	冫 氷
冱	沍
冲	沖 衝
决	決
况	況
冻	凍
净	凈
凂	浼
凄	淒
准	準
凈	净 淨
凉	涼
凍	冻
减	減
凐	湮
凑	湊
凒	溰
凓	溧
凔	滄 𰃷
凗	漼
凘	澌
凙	澤 𪞝
凚	澿
凛	凜 懔
凜	澟 凛
凟	𰃿 瀆
几	幾
凡	凣 凢
凢	凡
凣	凡
凤	鳳
処	處 䖏
凫	鳧
凭	憑
凯	凱
凱	凯
凳	櫈
凴	憑
凶	㐫
凹	𠕄
出	岀 齣 出
击	擊
函	圅 凾
凾	函 圅
凿	鑿
刀	刂
刂	刀
刃	刄
刄	刃
刅	創
分	份
刊	刋
刋	刊
刍	芻
划	劃
刓	园
刘	劉
则	則
刚	剛
创	創
删	刪
別	别
刦	刧 劫
刧	劫 刦
刨	鉋
利	𥝢
刪	删
别	別
刬	剗
刭	剄
刮	颳
刱	創
刴	剁
制	製
刷	㕞
刹	剎
刺	莿
刼	劫
刽	劊
刾	㓨
刿	劌
剀	剴
剁	刴
剂	劑
剃	鬀
剄	刭
則	则
剉	銼
剋	克 尅
剌	巤
剎	刹
剐	剮
剑	劍
剗	刬 剷
剙	創
剛	刚
剝	剥
剥	剝
剦	閹
剧	劇
剩	賸
剪	翦
剮	剐
剳	劄
剴	剀
創	创 刅 剙 刱 戧
剷	剗
剸	𰄞
剾	𠛅
剿	𠞰
劃	划
劄	剳
劇	剧
劈	擗
劉	刘
劊	刽
劌	刿
劍	剑 劒
劎	劔
劏	㓥
劑	剂
劒	劍
劓	㓷
劔	劎
劗	𭄛
劚	㔉
劝	勸
办	辦
务	務
劢	勱
动	動
劫	刧 刼 刦
励	勵
劲	勁
劳	勞
効	效
势	勢
勁	俓 劲
勄	敏
勅	敕 勑
勋	勛
勑	徠 敕 倈 𠡠 勅
動	动
勖	勗
勗	勖
務	务
勚	勩
勛	勳 勋
勝	胜
勞	劳
勢	势
勣	𪟝
勩	勚
勰	恊 協 脅
勱	劢
勳	勛
勴	𰅔
勵	励
勸	劝
勹	包
勻	匀
勽	㲒 菢
匀	勻
匃	匄 丐
匄	匃
包	勹
匆	悤 怱
匈	胸 胷
匊	掬
匋	陶
匏	瓟
匘	腦
匙	鍉
匝	迊 帀
匦	匭
匧	篋
匭	匦
匮	匱
匯	汇 滙
匰	𰅦
匱	櫃 饋 鐀 匮 樻
匳	奩
匵	櫝 𰅥
匹	疋
区	區
医	醫
區	区
十	拾
千	仟
卄	廿
卉	芔
卌	𠦌 𠦜
卍	萬 卐 万
华	華
协	協
卐	卍
卒	䘚
卓	棹
協	旪 协 勰
单	單
卖	賣
博	愽
占	佔
卢	盧
卤	鹵
卧	臥
卨	𫧯
卩	節 㔾
卫	衛
卬	卭
卭	卬
即	卽
却	卻
卹	恤
卻	却
卽	即
厂	廠
厄	戹
厅	廳
历	歷 厲 曆
厉	厲
压	壓
厌	厭
厍	厙
厎	砥
厐	龎
厓	崖
厕	廁
厖	庬
厘	𭀖 釐
厙	厍
厠	廁
厢	廂
厣	厴
厤	曆
厦	廈
厨	𢊍 廚
厩	廄 廐
厪	廑
厭	厌
厮	㒋 廝
厰	廠
厱	𰆚
厲	历 厉
厴	厣
厶	某
厷	肱
厹	叴
县	縣
叁	叄 三
参	參
參	薓 参 叅
叄	叁
叅	參
叆	靉
叇	靆
叉	釵
双	雙
収	收
发	發 髮
叔	尗
变	變
叙	敍 敘
叜	叟 傁
叟	叜 墰 傁
叠	疊 曡
叡	睿
叢	丛 樷
叨	饕
只	隻 子
叫	呌
台	檯 台 臺 颱
叴	厹
叵	尀
叶	葉
号	號
叹	嘆
叽	嘰
吃	喫
吉	𠮷
吊	弔
吋	寸
同	仝 衕 同
后	后 後
向	曏 向
吒	咤
吓	嚇
吕	呂
吗	嗎
吚	咿
吝	恡 悋
吞	呑
吟	唫
吣	唚
吨	噸 啍
含	唅
听	聽
启	啟
吲	哂
吳	呉 吴
吴	吳 呉
吶	呐 訥
吸	噏
吹	龡
吻	肳 呡
吿	告
呂	吕
呃	阨
呆	獃
呉	吳 吴
告	吿
呌	叫
呐	吶
呑	吞
呒	嘸
呓	囈
呕	嘔
呖	嚦
呗	唄
员	員
呙	咼
呛	嗆
呜	嗚
呠	噴 歕
呡	吻
周	週
呪	詋 咒
味	𠰌
呴	詬
咀	嘴 觜
咂	𠯗
咊	龢 和
和	龢 咊
咏	詠
咒	呪
咙	嚨
咛	嚀
咝	噝
咤	吒
咥	嘻
咨	諮 嗞
咩	哶
咬	齩
咮	胄
咱	偺 喒
咲	笑
咳	欬
咷	啕
咸	鹹
咼	呙
咽	嚥
咿	吚
哂	吲
响	響
哑	啞
哒	噠
哓	嘵
哔	嗶
哕	噦
哗	嘩
哙	噲
哜	嚌
哝	噥
哟	喲
員	员
哦	誐
哯	𠯟
哲	悊 喆
哴	喨
哶	咩
哼	苛
唁	喭
唄	呗
唅	含
唇	脣
唉	欸
唊	𰇕 硤
唓	𪠳
唚	吣
唛	嘜
唝	嗊
唠	嘮
唡	啢
唢	嗩
唤	喚
唫	吟
唬	虓 猇 諕
唻	𫪁
唾	涶
啃	齦
啊	阿
啍	吨
啎	忤
問	问
啓	啟
啕	咷
啖	啗 㗖 噉
啗	㗖 啖 噉
啜	歠 諁 欼
啞	瘂 哑
啟	啓 启
啢	唡
啣	㘅
啧	嘖
啬	嗇
啭	囀
啮	嚙
啯	嘓
啰	囉
啴	嘽
啸	嘯
啼	嗁
喂	餧 餵
喃	諵
喆	哲
喎	㖞
喐	郁
喒	偺 咱 昝
喚	唤
喜	憙
喧	諠
喨	哴
喪	丧
喫	吃
喬	乔
喭	唁
單	单
喲	哟
喷	噴
喽	嘍
喾	嚳
喿	噪
嗁	啼
嗅	齅
嗆	呛
嗇	啬
嗉	膆
嗊	唝
嗎	吗
嗒	㗳
嗚	呜
嗞	咨 諮
嗥	嘷 嚎
嗧	𰇠
嗩	唢
嗫	囁
嗳	噯
嗶	哔
嗹	𪡏
嗻	處
嗽	瘶
嗿	𰇲
嘄	𫪧
嘆	叹 歎
嘇	𰇼
嘈	䜊
嘍	喽 謱
嘓	啯
嘔	慪 呕
嘖	啧
嘗	甞 尝
嘘	噓
嘜	唛
嘤	嚶
嘩	譁 哗
嘪	𪡃
嘮	唠
嘯	啸 歗
嘰	叽
嘱	囑
嘳	𪡞
嘴	咀 觜
嘵	哓
嘷	嗥
嘸	呒
嘺	𪡀
嘻	咥
嘽	啴
嘿	默
噁	𫫇
噂	譐
噅	𠯠
噉	㗖 啖 啗
噏	吸
噐	器
噑	嚎
噓	嘘
噚	㖊
噜	嚕
噝	咝
噞	𪡋
噠	哒
噥	哝
噦	𧬨 哕
器	𠾖 噐
噪	喿 譟
噯	嗳
噲	哙
噴	呠 喷 歕
噸	吨
噹	𪠽 当
嚀	咛
嚂	𰈓
嚇	吓
嚈	𫩫
嚌	哜
嚍	𫩺
嚎	嗥 噑
嚐	𰈇
嚕	噜
嚙	啮
嚛	𪠸
嚝	𫩕
嚠	𭇯
嚣	囂
嚥	咽
嚦	呖
嚧	𠰷
嚨	咙
嚩	𰈶
嚪	𫫦
嚫	𰈍
嚬	顰 𫫾
嚱	𰇣
嚲	亸
嚳	喾 俈
嚴	严
嚵	饞
嚶	嘤
嚸	𰈊
嚹	𡅈
嚽	𪢕
嚿	𫩥
囀	啭
囁	嗫 讘
囂	嚣
囅	冁
囇	𫪃
囈	呓
囉	啰
囋	𰉄
囐	𰈯
囑	嘱
囒	𪢠
囓	齧
囕	𰈆
囘	囬 回
四	肆
回	囘 廻 囬
囟	幸 顖 倖 䪿
团	團
囤	𥫱
囪	囱
囬	囘 回
园	園 刓
囮	𡈙 諤
囯	國
困	睏
囱	囪
围	圍
囵	圇
国	國
图	圖
圅	函 凾
圆	圓
圇	囵
國	国 囯
圍	围
園	园
圓	圆
圕	圖
圖	图 圕
團	团
圝	圞
圞	圝 𪢮
圢	町
圣	聖
圬	杇
圭	珪
圹	壙
场	場
坂	阪
坆	墳
坋	坌
坌	坋
坎	埳
坏	壞 坯
坐	座
坑	阬
块	塊
坚	堅
坛	罈 壇
坜	壢
坝	壩
坞	塢
坟	墳
坠	墜
坤	堃
坭	泥
坯	坏
坰	冂 冋
坵	丘
垄	壟
垅	壠
垆	壚
垒	壘
垔	堙 陻
垛	垜
垜	垛
垦	墾
垩	堊
