㐁	𠀬
䘵	䘵
䘸	𧜥
䘺	𬓆
䙃	𧝍
䙄	𧚎
䙅	䌁
䙌	𧝷
䙕	𧛝
䙜	𧜨
䙝	𧃳
䙡	䙌
䙥	鿅
䙦	𧜩
䙮	䌯
䙱	𧜭
䙳	𧟧
䙹	𧠻
䙼	𰴖
䚂	𧹦
䚃	𧡹
䚅	𧡛
䚆	𬢑
䚌	𧢌
䚍	𧢔
䚎	𧢆
䚐	𧡐
䚔	𧢘
䚗	𧢸
䚙	𧣰
䚜	𧤃
䚣	𧤘
䚧	𧥂
䚭	𧤆
䚯	𠮧
䚳	𬣛
䚴	𧦗
䚵	𬣟
䚷	𧦉
䚹	䚰
䚺	𬢟
䚻	𧦇
䚽	𬣜
䛀	𰵐
䛇	䛇
䛍	𬣧
䛎	𧦱
䛒	𧭿
䛔	𧦀
䛘	𬣯
䛛	𬣬
䛞	𬣸
䛟	𰵢
䛣	𫪆
䛤	𬣹
䛳	𫍫
䛴	𮘩
䛿	𬤑
䜀	䜧
䜄	𰶈
䜇	𧫀
䜈	𧭄
䜍	𬤟
䜎	𬣿
䜐	𧨧
䜒	𬤡
䜖	𫟢
䜝	𬤬
䜱	𧯐
䜷	𬤸
䜼	𧯸
䜾	𧯹
䝀	𰶡
䝃	𧰁
䝄	𧰤
䝈	𧱒
䝌	𧱝
䝒	𧱛
䝟	𧳳
䝡	𬥊
䝢	𧴝
䝧	賯
䝪	𧶳
䝭	𫎧
䝰	𧶱
䝹	𮚉
䝺	𪯢
䝼	䞍
䞀	𬥽
䞁	𬥺
䞃	𰷏
䞉	𰷩
䞋	𫎪
䞓	𫎭
䞔	𧹧
䞕	𧹸
䞖	𧺱
䞚	𧼘
䞛	𧺪
䞞	𧼗
䞤	𠹪
䞧	𧼵
䞫	𧼐
䞭	𨕦
䞰	䟄
䞾	𧼥
䟄	𨖊
䟅	𧽯
䟆	𫎳
䟇	𧺋
䟊	𰷾
䟌	𧽭
䟍	𧾫
䟏	𰷴
䟘	𧿦
䟠	𨃂
䟤	𧿥
䟩	𨅫
䟴	𬅾
䟵	𨁛
䟸	䠏
䟿	𨄭
䠀	䟫
䠄	𨆁
䠅	𨁉
䠇	𠡰
䠑	𨅆
䠙	𨁳
䠧	𮜌
䠨	𨅧
䠩	𰸊
䠮	𬧃
䠶	𪿎
䠸	𨉀
䠼	𧙠
䡀	𨊈
䡁	𬧢
䡆	䡥
䡇	𰹷
䡈	𬧶
䡊	𰹺
䡏	䡌
䡐	𫟤
䡑	䡻
䡔	𨌋
䡕	𨍗
䡜	𨎈
䡞	𨍯
䡣	𨏂
䡦	𬨑
䡩	𫟥
䡫	𨏕
䡬	𰹥
䡳	傂
䡴	𰺝
䡶	𬨔
䡹	𬨕
䡺	𨎥
䡻	𰺤
䢃	𬂘
䢈	𰺭
䢋	䢎
䢌	𨒠
䢑	𨑼
䢒	𧻨
䢙	𰇩
䢚	𨁈
䢡	𨔋
䢵	𨝽
䢼	䣏
䢾	𨚁
䣂	洡
䣄	𨝛
䣅	𫑥
䣔	𨝉
䣕	䣖
䣗	𨝲
䣙	剻
䣛	𨞢
䣩	䣨
䣫	𨠃
䣹	𨠰
䣿	𨡖
䤇	𰼇
䤌	𮠞
䤎	𪊀
䤐	𰼓
䤓	𨢊
䤙	𨣰
䤠	𰽠
䤡	𬫉
䤤	𫟺
䤥	𰽺
䤩	𬭈
䤴	䥁
䤵	𰾐
䤸	𰾦
䤹	𨨿
䤻	𰾖
䤼	𬭣
䥀	𨩪
䥄	𫠀
䥇	䦂
䥋	𨬤
䥏	𨯣
䥒	𨯞
䥕	𬭯
䥖	𰾻
䥗	𫔋
䥛	𬭴
䥞	𬭻
䥢	𫓖
䥧	𨬴
䥩	𨱖
䥪	𫓣
䥰	𨨸
䥱	䥾
䥴	𰿅
䥷	𰿇
䦊	𨲂
䦋	𨲶
䦎	𰿨
䦏	𨳚
䦐	𫼓
䦕	䦕
䦜	𨵒
䦝	𬮨
䦟	䦷
䦯	𫔵
䦳	𨷿
䦹	𨙩
䦻	𱀂
䦽	𫕃
䧁	𱀉
䧑	𱀔
䧙	𮥑
䧞	𬮺
䧨	𨼙
䨂	𪝲
䨇	𫪉
䨈	𱁏
䨊	𩁵
䨘	𬰄
䨛	𩄜
䨜	𬯿
䨯	𩄛
䨸	𬰔
䨼	𩇥
䨽	𩇯
䨿	𩇺
䩁	𱁯
䩂	𩈖
䩊	𩈱
䩐	𩉟
䩒	𩉞
䩕	𩉰
䩖	𩊮
䩛	𩉫
䩤	䩐
䩦	鞗
䩪	䪀
䩫	𬰥
䩮	䩮
䩯	𩏊
䩶	䩶
䩼	𩊩
䪊	𫖅
䪍	𱁽
䪎	𩍺
䪏	𩏼
䪐	𱂅
䪑	𩎼
䪓	𬰳
䪔	𩏮
䪘	𩏿
䪜	𬰷
䪝	𱂌
䪞	䨿
䪣	䪟
䪥	𱂎
䪬	𥩾
䪲	䪲
䪸	𩕻
䪹	䫊
䪻	𩓉
䪼	𱂢
䫂	𫖰
䫄	𩒬
䫈	𬱣
䫉	𬥈
䫐	𬃲
䫔	䚉
䫗	𢝄
䫟	𫖲
䫥	𱆚
䫬	𩕗
䫯	𩕲
䫴	𩖗
䫸	𩖙
䫻	𫗇
䫼	𬱷
䬀	𱃖
䬂	𬱸
䬆	𩘟
䬋	𱃃
䬎	𬱿
䬏	𱃆
䬓	𫗊
䬔	𱃞
䬜	𱃎
䬠	𩄩
䬧	𫗟
䬬	𱃵
䬯	𬲫
䬰	𥹙
䬶	𬲷
䬷	𩜉
䬹	𱃸
䬽	䭨
䬾	𬲻
䬿	𩜧
䭅	𬲾
䭇	𬳀
䭒	𬳋
䭙	𩞲
䭞	𬲳
䭣	𬲶
䭤	𩝡
䭦	𪎄
䭩	𫗗
䭫	䭬
䭬	𩠜
䭷	𰚧
䭹	𩣍
䮄	𫠊
䮈	𬳾
䮉	𩥜
䮎	𩥀
䮚	𩜁
䮝	𩧰
䮞	𩨁
䮠	𩧿
䮤	𩧏
䮦	𩥊
䮧	𱅠
䮫	𩨇
䮰	𫘮
䮲	𱅦
䮳	𩨏
䮵	𩦍
䮷	𩧈
䮸	𬳸
䮻	𮪇
䮽	𬴍
䮿	𬴏
䯀	䯅
䯂	𥤡
䯈	𩩁
䯌	𩩾
䯎	䯎
䯔	𩨛
䯘	𩩕
䯜	𤓑
䯣	𩪹
䯤	𩩈
䯦	𩪻
䯨	𩫀
䯰	𩬐
䯱	𩬋
䯼	𩭲
䯾	𩯦
䰂	𩭄
䰃	𩮗
䰈	𩯸
䰉	䰔
䰌	𨲧
䰍	𥿴
䰐	𱆅
䰘	𨶪
䰙	鈘
䰛	𤭁
䰧	𩳰
䰩	𩴟
䰪	𩳬
䰫	𱆙
䰬	𩴢
䰯	𩴷
䰲	𱇍
䰷	𬶆
䰼	𩷒
䰾	鲃
䱂	𱇤
䱅	𱇚
䱇	𱇞
䱌	𱇬
䱏	𩶃
䱐	𱇲
䱓	𬶓
䱕	𧉯
䱙	𩾈
䱚	𮬠
䱛	𮬟
䱟	𱈀
䱤	𱇻
䱥	𱇹
䱧	𫚠
䱩	䰶
䱭	𱈇
䱰	𩾋
䱴	𱈈
䱵	𮬢
䱽	䲝
䲀	𩻉
䲁	鳚
䲉	𱈒
䲋	𮬖
䲌	𩺶
䲏	𬶗
䲕	𬶴
䲖	𩾂
䲗	𮬣
䲘	鳤
䲙	𬶎
䲢	䲍
䲣	𮫱
䲤	鿐
䲦	𩿁
䲨	𬷾
䲪	𩾪
䲰	𪉂
䲱	鴋
䲻	𪈉
䲼	𬸆
䲽	𡫰
䳇	𱉞
䳏	𱉤
䳑	𫚸
䳒	𱉧
䳙	𩿭
䳜	𫛬
䳝	𨿦
䳧	𫛺
䳩	𩀄
䳫	𫛼
䳸	䳸
䳺	𱊣
䳻	𩀧
䳿	𪆈
䴀	𪆏
䴃	𩀸
䴇	𱊪
䴈	𬸩
䴉	鹮
䴋	𫜅
䴎	𤡂
䴤	𪊟
䴥	𢉻
䴪	𪋵
䴮	𱋆
䴯	𪍃
䴴	𪎋
䴵	𱋔
䴸	𱋗
䴻	𪍆
䴽	𫜔
䵀	𪍨
䵃	𱋫
䵄	𥽈
䵆	𱋮
䵈	𣫓
䵋	𪏞
䵍	𪏆
䵏	𪏧
䵐	𱋴
䵔	𪐈
䵘	𬓸
䵡	𪐡
䵵	𧅌
䵷	𱌃
䵺	𡒧
䵻	𪔊
䵿	𧰀
䶂	𪕺
䶃	𪕛
䶅	𪕘
䶆	𪕪
䶒	𠆈
䶔	𪗩
䶕	𫜨
䶗	𮯙
䶝	𪘘
䶞	𪗞
䶤	𩪲
䶦	𬺉
䶧	𱌰
䶯	𡤞
䶳	𤒀
䶾	𣢧
䶿	飢
丁	𠆤
丈	𠀋
三	𫧁
丙	𠱛
东	東
丢	丟
丨	⼁
丬	⺦
丵	𦭱
丶	⼂
丿	⼃
乀	㇏
乁	乁
乂	䢃
么	麽
乕	𠂰
乚	⺃
乛	⺂
乞	𠧒
习	習
乣	糺
乼	𨦤
乿	𠄂
亀	⻲
亄	𠃸
亅	⼅
云	雲
亜	𠥲
亠	⼇
亳	𠅢
亶	𮧊
亻	⺅
亼	亽
仃	𫣨
仉	𠆰
仌	仌
仐	𠓝
他	𬽲
仗	杖
仛	𠇔
仝	𠚤
仟	𭛜
仡	㐹
仯	仦
仲	㑖
仳	㑭
仹	𠉏
任	𢓩
份	分
伃	𠇐
伉	𬽶
伋	觙
伎	𠇞
伡	俥
伢	𤘅
伣	俔
伥	倀
伧	傖
伭	𠆺
伯	𰐭
伴	㚘
伺	𣱇
伾	伓
伿	㑆
佁	𫩞
佃	畋
但	亶
佉	𠳞
住	𥩣
佔	占
佖	𠉘
佪	𠇶
佮	𫧻
佰	伯
佸	𠈲
佾	𢔍
侅	𠇟
侒	𠊢
侔	𠉖
侗	㣚
侜	𰂉
侠	俠
侣	侶
侭	儘
侳	𠋿
侴	𠜋
侶	侣
侷	𠉧
侸	𠍄
侻	侻
俄	𭀁
俅	𤞰
俚	𨛋
俜	𠏬
俠	侠
俥	伡
俫	倈
俴	𠈙
俶	埱
俸	奉
俺	𰁱
倀	伥
倄	𬾝
倅	伜
倆	俩
倈	俫
們	们
倓	𠋴
倕	𠍮
倖	𰂘
倜	俶
倠	𠈆
倨	𭩢
倯	𢔋
倰	𪌒
债	債
偉	伟
偋	𠌸
偑	㐽
偒	𠏑
偙	僀
做	作
偞	𠉪
偠	婹
偩	𰁾
偪	𫯫
偯	㥋
偲	愢
偳	𠉺
側	侧
偵	侦
偿	償
傂	𠈩
傇	𠐪
傊	𠋏
傌	㐷
傏	㑽
傕	𠐶
傖	伧
傝	𠎷
傞	𠊡
傤	儎
傥	儻
傪	𫢺
催	𫣐
傮	𠑤
傴	伛
債	债
傷	伤
傺	𬿺
傾	倾
僀	𰂗
僁	𠋱
僂	偻
僅	仅
僈	𣍑
働	𫢙
僎	𠊨
僑	侨
僓	𰂜
僖	釐
僗	𫢬
僛	𠐾
僞	伪
僢	𠌏
僣	𦅦
僤	𫢸
僨	偾
僯	䫰
僴	𰂋
僸	嬐
僻	𠒱
儀	仪
儂	侬
億	亿
儅	𰁸
儆	憼
儈	侩
儎	𪝠
儔	俦
儖	𫣉
儜	佇
償	偿
儣	𬽷
儥	𰂏
儩	𰂭
優	优
儭	𠋆
儰	𫢭
儲	储
儶	㒞
儷	俪
儸	㑩
儺	傩
儻	傥
儽	㒍
儾	𦈃
兂	𠑶
児	𫤗
兖	兗
兙	𠒲
党	黨
